num,cell_width,cell_height,block_width,block_height,width,height,accuracy
133,10,10,2,2,30,40,0.870146678171
134,10,10,2,2,30,40,0.869276983634
135,10,10,2,2,30,40,0.872832369942
136,10,10,2,2,30,40,0.870339338081
137,10,10,2,2,30,40,0.864876385337
138,10,10,2,2,30,40,0.866709456568
139,10,10,2,2,30,40,0.872068230277
140,10,10,2,2,30,40,0.867956623432
141,10,10,3,3,30,40,0.891354406531
142,10,10,3,3,30,40,0.877042312526
143,10,10,3,3,30,40,0.892128279883
144,10,10,3,3,30,40,0.889075277836
145,10,10,3,3,30,40,0.887359728986
146,10,10,3,3,30,40,0.883343996588
147,10,10,3,3,30,40,0.882873393722
148,10,10,3,3,30,40,0.889765458422
149,10,10,3,3,30,40,0.874787414966
150,10,10,3,3,30,40,0.885934819897
151,12,12,1,1,36,48,0.788506232833
152,12,12,1,1,36,48,0.794937247394
153,12,12,1,1,36,48,0.782963583089
154,12,12,1,1,36,48,0.790274841438
155,12,12,1,1,36,48,0.790110356537
156,12,12,1,1,36,48,0.782746926664
157,12,12,1,1,36,48,0.787904241915
158,12,12,1,1,36,48,0.794676806084
159,12,12,1,1,36,48,0.772620821801
160,12,12,1,1,36,48,0.79734361611
161,12,12,2,2,36,48,0.876431194642
162,12,12,2,2,36,48,0.878001715266
163,12,12,2,2,36,48,0.87408523461
164,12,12,2,2,36,48,0.875342754693
165,12,12,2,2,36,48,0.875578947368
166,12,12,2,2,36,48,0.879062895737
167,12,12,2,2,36,48,0.875547217011
168,12,12,2,2,36,48,0.871891327064
169,12,12,2,2,36,48,0.868810833686
170,12,12,2,2,36,48,0.8703664024
171,12,12,3,3,36,48,0.884849758353
172,12,12,3,3,36,48,0.885937821701
173,12,12,3,3,36,48,0.88497061293
174,12,12,3,3,36,48,0.889848812095
175,12,12,3,3,36,48,0.887683471602
176,12,12,3,3,36,48,0.89037377323
177,12,12,3,3,36,48,0.886654095956
178,12,12,3,3,36,48,0.889031156637
179,12,12,3,3,36,48,0.883389974511
180,12,12,3,3,36,48,0.889494652967
181,14,14,1,1,42,42,0.777310039992
182,14,14,1,1,42,42,0.771526001705
183,14,14,1,1,42,42,0.773891317926
184,14,14,1,1,42,42,0.769230769231
185,14,14,1,1,42,42,0.771229404309
186,14,14,1,1,42,42,0.776759061834
187,14,14,1,1,42,42,0.775639670121
188,14,14,1,1,42,42,0.779042301911
189,14,14,1,1,42,42,0.778889125346
190,14,14,1,1,42,42,0.774774774775
191,14,14,2,2,42,42,0.865269461078
192,14,14,2,2,42,42,0.864293193717
193,14,14,2,2,42,42,0.86464901219
194,14,14,2,2,42,42,0.866168623266
195,14,14,2,2,42,42,0.872490388723
196,14,14,2,2,42,42,0.879188900747
197,14,14,2,2,42,42,0.860029780898
198,14,14,2,2,42,42,0.859239355105
199,14,14,2,2,42,42,0.863887707359
200,14,14,2,2,42,42,0.862944162437
201,14,14,3,3,42,42,0.87380699894
202,14,14,3,3,42,42,0.875
203,14,14,3,3,42,42,0.87265758092
204,14,14,3,3,42,42,0.872498935717
205,14,14,3,3,42,42,0.876481597006
206,14,14,3,3,42,42,0.88045540797
207,14,14,3,3,42,42,0.873819742489
208,14,14,3,3,42,42,0.878685762426
209,14,14,3,3,42,42,0.877132368819
210,14,14,3,3,42,42,0.876242860165
